"REF_DATE","GEO","DGUID","Coordinate","Population and dwelling counts (13): Population, 2021 [1]","Symbols","Population and dwelling counts (13): Population, 2016 [2]","Symbols","Population and dwelling counts (13): Population percentage change, 2016 to 2021 [3]","Symbols","Population and dwelling counts (13): Total private dwellings, 2021 [4]","Symbols","Population and dwelling counts (13): Total private dwellings, 2016 [5]","Symbols","Population and dwelling counts (13): Total private dwellings percentage change, 2016 to 2021 [6]","Symbols","Population and dwelling counts (13): Private dwellings occupied by usual residents, 2021 [7]","Symbols","Population and dwelling counts (13): Private dwellings occupied by usual residents, 2016 [8]","Symbols","Population and dwelling counts (13): Private dwellings occupied by usual residents percentage change, 2016 to 2021 [9]","Symbols","Population and dwelling counts (13): Land area in square kilometres, 2021 [10]","Symbols","Population and dwelling counts (13): Population density per square kilometre, 2021 [11]","Symbols","Population and dwelling counts (13): National population rank, 2021 [12]","Symbols","Population and dwelling counts (13): Province/territory population rank, 2021 [13]","Symbols"
"2021","Canada","2021A000011124","1","36991981",,"35151728",,"5.2",,"16284235",,"15412443",,"5.7",,"14978941",,"14072079",,"6.4",,"8788702.80",,"4.2",,,"...",,"..."
"2021","Newfoundland and Labrador","2021A000210","2","510550",,"519716",,"-1.8",,"269184",,"265739",,"1.3",,"223253",,"218673",,"2.1",,"358170.37",,"1.4",,,"...",,"..."
"2021","Division No.  1","2021A00031001","3","271878",,"270348",,"0.6",,"135137",,"131336",,"2.9",,"117178",,"112620",,"4.0",,"9104.58",,"29.9",,"27",,"1",
"2021","Division No.  2","2021A00031002","4","19392",,"20372",,"-4.8",,"11551",,"11497",,"0.5",,"8891",,"8737",,"1.8",,"5915.57",,"3.3",,"227",,"7",
"2021","Division No.  3","2021A00031003","5","13920",,"15560",,"-10.5",,"8046",,"8289",,"-2.9",,"6342",,"6773",,"-6.4",,"19272.11",,"0.7",,"254",,"10",
"2021","Division No.  4","2021A00031004","6","19253",,"20387",,"-5.6",,"10900",,"11338",,"-3.9",,"9196",,"9345",,"-1.6",,"7019.97",,"2.7",,"229",,"8",
"2021","Division No.  5","2021A00031005","7","40396",,"42014",,"-3.9",,"20875",,"20924",,"-0.2",,"17967",,"17890",,"0.4",,"10293.76",,"3.9",,"148",,"2",
"2021","Division No.  6","2021A00031006","8","37339",,"38345",,"-2.6",,"19498",,"19296",,"1.0",,"16489",,"16434",,"0.3",,"16043.38",,"2.3",,"158",,"3",
"2021","Division No.  7","2021A00031007","9","33044",,"34092",,"-3.1",,"20304",,"20097",,"1.0",,"14867",,"14571",,"2.0",,"9598.37",,"3.4",,"170",,"5",
"2021","Division No.  8","2021A00031008","10","33940",,"35794",,"-5.2",,"21721",,"21913",,"-0.9",,"15385",,"15587",,"-1.3",,"9234.94",,"3.7",,"167",,"4",
"2021","Division No.  9","2021A00031009","11","14733",,"15607",,"-5.6",,"9366",,"9346",,"0.2",,"6640",,"6689",,"-0.7",,"13209.48",,"1.1",,"251",,"9",
"2021","Division No. 10","2021A00031010","12","24332",,"24639",,"-1.2",,"10941",,"10758",,"1.7",,"9518",,"9193",,"3.5",,"191691.09",,"0.1",,"196",,"6",
"2021","Division No. 11","2021A00031011","13","2323",,"2558",,"-9.2",,"845",,"945",,"-10.6",,"780",,"834",,"-6.5",,"66787.13",,"0.0",,"291",,"11",
"2021","Prince Edward Island","2021A000211","14","154331",,"142907",,"8.0",,"74934",,"71119",,"5.4",,"64570",,"59472",,"8.6",,"5681.18",,"27.2",,,"...",,"..."
"2021","Kings","2021A00031101","15","18327",,"17154","r","6.8",,"9948",,"10032","r","-0.8",,"7678",,"7223","r","6.3",,"1687.58",,"10.9",,"233",,"3",
"2021","Prince","2021A00031103","16","46234",,"43910","r","5.3",,"22776",,"21916","r","3.9",,"19660",,"18355","r","7.1",,"2006.27",,"23.0",,"135",,"2",
"2021","Queens","2021A00031102","17","89770",,"81843","r","9.7",,"42210",,"39171","r","7.8",,"37232",,"33894","r","9.8",,"1987.32",,"45.2",,"74",,"1",
"2021","Nova Scotia","2021A000212","18","969383",,"923598",,"5.0",,"476007",,"458568",,"3.8",,"428228",,"401990",,"6.5",,"52824.71",,"18.4",,,"...",,"..."
"2021","Annapolis","2021A00031205","19","21252",,"20591",,"3.2",,"11612",,"11391",,"1.9",,"9855",,"9377",,"5.1",,"3183.23",,"6.7",,"214",,"10",
"2021","Antigonish","2021A00031214","20","20129",,"19301",,"4.3",,"10145",,"9842",,"3.1",,"8711",,"8129",,"7.2",,"1456.42",,"13.8",,"222",,"11",
"2021","Cape Breton","2021A00031217","21","98318",,"98722",,"-0.4",,"48020",,"47204","r","1.7",,"43799",,"43081",,"1.7",,"2457.21",,"40.0",,"66",,"2",
"2021","Colchester","2021A00031210","22","51476",,"50585",,"1.8",,"25638",,"25378",,"1.0",,"23056",,"22229",,"3.7",,"3627.50",,"14.2",,"124",,"4",
"2021","Cumberland","2021A00031211","23","30538",,"30005",,"1.8",,"18363",,"18445",,"-0.4",,"14139",,"13614",,"3.9",,"4275.77",,"7.1",,"181",,"8",
"2021","Digby","2021A00031203","24","17062",,"17323",,"-1.5",,"9681",,"9927",,"-2.5",,"8117",,"8043",,"0.9",,"2512.28",,"6.8",,"242",,"13",
"2021","Guysborough","2021A00031213","25","7373",,"7625",,"-3.3",,"4897",,"5190",,"-5.6",,"3559",,"3549",,"0.3",,"4037.16",,"1.8",,"281",,"18",
"2021","Halifax","2021A00031209","26","440072",,"403390",,"9.1",,"200619",,"187478",,"7.0",,"190650",,"173459",,"9.9",,"5477.53",,"80.3",,"18",,"1",
"2021","Hants","2021A00031208","27","45140",,"42558",,"6.1",,"20306",,"19202",,"5.7",,"18862",,"17439",,"8.2",,"3049.18",,"14.8",,"138",,"6",
"2021","Inverness","2021A00031215","28","17346",,"17235",,"0.6",,"9737",,"9876",,"-1.4",,"7693",,"7351",,"4.7",,"3817.61",,"4.5",,"240",,"12",
"2021","Kings","2021A00031207","29","62914",,"60600",,"3.8",,"30366",,"29187",,"4.0",,"27538",,"25951",,"6.1",,"2120.31",,"29.7",,"105",,"3",
"2021","Lunenburg","2021A00031206","30","48599",,"47126",,"3.1",,"27092",,"26648",,"1.7",,"22443",,"21439",,"4.7",,"2906.47",,"16.7",,"128",,"5",
"2021","Pictou","2021A00031212","31","43657",,"43748",,"-0.2",,"22410",,"22525",,"-0.5",,"19735",,"19305",,"2.2",,"2844.10",,"15.4",,"141",,"7",
"2021","Queens","2021A00031204","32","10501",,"10351",,"1.4",,"6705",,"6608",,"1.5",,"5005",,"4764",,"5.1",,"2393.44",,"4.4",,"270",,"15",
"2021","Richmond","2021A00031216","33","8914",,"8964",,"-0.6",,"5230",,"5123","r","2.1",,"4100",,"3983",,"2.9",,"1246.08",,"7.2",,"278",,"16",
"2021","Shelburne","2021A00031201","34","13704",,"13966",,"-1.9",,"7904",,"7765",,"1.8",,"6473",,"6378",,"1.5",,"2462.58",,"5.6",,"256",,"14",
"2021","Victoria","2021A00031218","35","7441",,"7089",,"5.0",,"4753",,"4437",,"7.1",,"3280",,"3101",,"5.8",,"2836.19",,"2.6",,"280",,"17",
"2021","Yarmouth","2021A00031202","36","24947",,"24419",,"2.2",,"12529",,"12342",,"1.5",,"11213",,"10798",,"3.8",,"2121.64",,"11.8",,"192",,"9",
"2021","New Brunswick","2021A000213","37","775610",,"747101",,"3.8",,"366146",,"359721",,"1.8",,"337651",,"319773",,"5.6",,"71248.50",,"10.9",,,"...",,"..."
"2021","Albert","2021A00031306","38","30749",,"29158",,"5.5",,"13476",,"13111",,"2.8",,"12913",,"12219",,"5.7",,"1806.23",,"17.0",,"179",,"9",
"2021","Carleton","2021A00031311","39","26360",,"26178","r","0.7",,"11865",,"11808","r","0.5",,"11120",,"10750","r","3.4",,"3309.06",,"8.0",,"189",,"12",
"2021","Charlotte","2021A00031302","40","26015",,"25428",,"2.3",,"13449",,"13513",,"-0.5",,"11560",,"11132",,"3.8",,"3418.24",,"7.6",,"190",,"13",
"2021","Gloucester","2021A00031315","41","78256",,"78444",,"-0.2",,"39145",,"38789",,"0.9",,"35830",,"34701",,"3.3",,"4734.30",,"16.5",,"85",,"3",
"2021","Kent","2021A00031308","42","32169",,"30475",,"5.6",,"16274",,"16251",,"0.1",,"14074",,"13236",,"6.3",,"4550.38",,"7.1",,"173",,"8",
"2021","Kings","2021A00031305","43","71184",,"68941",,"3.3",,"30283",,"29570",,"2.4",,"28464",,"27027",,"5.3",,"3482.35",,"20.4",,"93",,"5",
"2021","Madawaska","2021A00031313","44","32603",,"32741",,"-0.4",,"15851",,"15774",,"0.5",,"14905",,"14505",,"2.8",,"3454.97",,"9.4",,"171",,"7",
"2021","Northumberland","2021A00031309","45","45005",,"44952",,"0.1",,"21940",,"21792",,"0.7",,"19945",,"19362",,"3.0",,"12843.39",,"3.5",,"139",,"6",
"2021","Queens","2021A00031304","46","10998",,"10472",,"5.0",,"6854",,"7289",,"-6.0",,"5133",,"4877",,"5.2",,"3681.05",,"3.0",,"266",,"15",
"2021","Restigouche","2021A00031314","47","30700",,"30955",,"-0.8",,"15288",,"15259",,"0.2",,"14165",,"13993",,"1.2",,"8566.82",,"3.6",,"180",,"10",
"2021","Saint John","2021A00031301","48","76558",,"74020",,"3.4",,"36964",,"36825",,"0.4",,"34634",,"32852",,"5.4",,"1461.05",,"52.4",,"87",,"4",
"2021","Sunbury","2021A00031303","49","27864",,"27644",,"0.8",,"11903",,"11853",,"0.4",,"11310",,"10898",,"3.8",,"2692.97",,"10.3",,"187",,"11",
"2021","Victoria","2021A00031312","50","18312",,"18617",,"-1.6",,"9054",,"9178",,"-1.4",,"8249",,"8159",,"1.1",,"5492.85",,"3.3",,"234",,"14",
"2021","Westmorland","2021A00031307","51","163576",,"149623",,"9.3",,"75506",,"71839",,"5.1",,"70090",,"64038",,"9.5",,"3659.74",,"44.7",,"39",,"1",
"2021","York","2021A00031310","52","105261",,"99453","r","5.8",,"48294",,"46870","r","3.0",,"45259",,"42024","r","7.7",,"8095.10",,"13.0",,"61",,"2",
"2021","Quebec","2021A000224","53","8501833",,"8164361",,"4.1",,"4050164",,"3858943",,"5.0",,"3749035",,"3531663",,"6.2",,"1298599.75",,"6.5",,,"...",,"..."
"2021","Abitibi","2021A00032488","54","24764",,"24639",,"0.5",,"11784",,"11374",,"3.6",,"10941",,"10529",,"3.9",,"7627.63",,"3.2",,"194",,"60",
"2021","Abitibi-Ouest","2021A00032487","55","20526",,"20538",,"-0.1",,"10082",,"10053",,"0.3",,"9233",,"9026",,"2.3",,"3312.45",,"6.2",,"221",,"73",
"2021","Acton","2021A00032448","56","15654",,"15594",,"0.4",,"7185",,"7101",,"1.2",,"6844",,"6637",,"3.1",,"579.64",,"27.0",,"246",,"85",
"2021","Antoine-Labelle","2021A00032479","57","36462",,"35243",,"3.5",,"23909",,"23399",,"2.2",,"17839",,"16474",,"8.3",,"14809.85",,"2.5",,"160",,"51",
"2021","Argenteuil","2021A00032476","58","34752",,"32389",,"7.3",,"19600",,"19081",,"2.7",,"16223",,"14789",,"9.7",,"1234.69",,"28.1",,"165",,"53",
"2021","Arthabaska","2021A00032439","59","74348",,"72014",,"3.2",,"35556",,"33483",,"6.2",,"33166",,"31447",,"5.5",,"1887.09",,"39.4",,"90",,"23",
"2021","Avignon","2021A00032406","60","13415",,"14461",,"-7.2",,"6967",,"7340",,"-5.1",,"6281",,"6570",,"-4.4",,"3487.37",,"3.8",,"257",,"90",
"2021","Beauce-Sartigan","2021A00032429","61","53384",,"52406",,"1.9",,"25591",,"24195",,"5.8",,"24136",,"22861",,"5.6",,"1952.73",,"27.3",,"120",,"34",
"2021","Beauharnois-Salaberry","2021A00032470","62","68322",,"64320",,"6.2",,"32524",,"30151",,"7.9",,"31245",,"28865",,"8.2",,"468.48",,"145.8",,"96",,"25",
"2021","Bellechasse","2021A00032419","63","38000",,"37233",,"2.1",,"18000",,"17740",,"1.5",,"16229",,"15625",,"3.9",,"1749.91",,"21.7",,"151",,"47",
"2021","Bonaventure","2021A00032405","64","17557",,"17660",,"-0.6",,"8831",,"8744",,"1.0",,"8194",,"7898",,"3.7",,"4379.46",,"4.0",,"238",,"80",
"2021","Brome-Missisquoi","2021A00032446","65","64786",,"58314",,"11.1",,"34331",,"31470",,"9.1",,"29414",,"25865",,"13.7",,"1650.20",,"39.3",,"103",,"26",
"2021","Bécancour","2021A00032438","66","20748",,"20404",,"1.7",,"10148",,"9947",,"2.0",,"9391",,"9041",,"3.9",,"1143.13",,"18.2",,"217",,"71",
"2021","Charlevoix","2021A00032416","67","13371",,"12997",,"2.9",,"7516",,"7330",,"2.5",,"6186",,"5781",,"7.0",,"3736.80",,"3.6",,"258",,"91",
"2021","Charlevoix-Est","2021A00032415","68","15409",,"15509",,"-0.6",,"8664",,"8707",,"-0.5",,"7138",,"6980",,"2.3",,"2288.97",,"6.7",,"247",,"86",
"2021","Coaticook","2021A00032444","69","18906",,"18497",,"2.2",,"8913",,"8747",,"1.9",,"8070",,"7817",,"3.2",,"1338.86",,"14.1",,"231",,"76",
"2021","Communauté maritime des Îles-de-la-Madeleine","2021A00032401","70","12654",,"12475",,"1.4",,"6665",,"6477",,"2.9",,"5830",,"5534",,"5.3",,"187.33",,"67.5",,"263",,"93",
"2021","D'Autray","2021A00032452","71","44080",,"42189",,"4.5",,"21395",,"20768",,"3.0",,"19555",,"18223",,"7.3",,"1234.67",,"35.7",,"140",,"42",
"2021","Deux-Montagnes","2021A00032472","72","102052",,"98203",,"3.9",,"42552",,"40728",,"4.5",,"41454",,"39748",,"4.3",,"242.88",,"420.2",,"64",,"19",
"2021","Drummond","2021A00032449","73","107967",,"103397",,"4.4",,"50285",,"47581",,"5.7",,"48416",,"45334",,"6.8",,"1599.10",,"67.5",,"59",,"18",
"2021","Francheville","2021A00032437","74","158343",,"153030",,"3.5",,"79701",,"76859",,"3.7",,"75423",,"71357",,"5.7",,"1160.67",,"136.4",,"42",,"12",
"2021","Gatineau","2021A00032481","75","291041",,"276245",,"5.4",,"133225",,"125608",,"6.1",,"126476",,"118385",,"6.8",,"341.84",,"851.4",,"25",,"5",
"2021","Joliette","2021A00032461","76","71124",,"66550",,"6.9",,"33812",,"30969",,"9.2",,"32312",,"29703",,"8.8",,"417.41",,"170.4",,"94",,"24",
"2021","Kamouraska","2021A00032414","77","21307",,"21073",,"1.1",,"10674",,"10645",,"0.3",,"9414",,"9150",,"2.9",,"2241.05",,"9.5",,"213",,"69",
"2021","L'Assomption","2021A00032460","78","128087",,"124759",,"2.7",,"52508",,"50828",,"3.3",,"51578",,"49768",,"3.6",,"255.16",,"502.0",,"52",,"16",
"2021","L'Islet","2021A00032417","79","17598",,"17798",,"-1.1",,"9475",,"9924",,"-4.5",,"8206",,"8023",,"2.3",,"2097.09",,"8.4",,"236",,"78",
"2021","L'Érable","2021A00032432","80","23534",,"23425",,"0.5",,"11839",,"11315",,"4.6",,"10693",,"10270",,"4.1",,"1287.03",,"18.3",,"200",,"64",
"2021","L'Île-d'Orléans","2021A00032420","81","6817",,"7082",,"-3.7",,"3513",,"3703",,"-5.1",,"3033",,"3040",,"-0.2",,"194.58",,"35.0",,"282",,"98",
"2021","La Côte-de-Beaupré","2021A00032421","82","30240",,"28199",,"7.2",,"15487",,"14244",,"8.7",,"13027",,"11851",,"9.9",,"4845.19",,"6.2",,"184",,"58",
"2021","La Côte-de-Gaspé","2021A00032403","83","17547",,"17117",,"2.5",,"8906",,"8648",,"3.0",,"8034",,"7637",,"5.2",,"4088.39",,"4.3",,"239",,"81",
"2021","La Haute-Côte-Nord","2021A00032495","84","10278",,"10846",,"-5.2",,"5693",,"5708",,"-0.3",,"5023",,"4982",,"0.8",,"11295.82",,"0.9",,"271",,"95",
"2021","La Haute-Gaspésie","2021A00032404","85","10950",,"11316",,"-3.2",,"6222",,"6282",,"-1.0",,"5415",,"5270",,"2.8",,"5053.88",,"2.2",,"267",,"94",
"2021","La Haute-Yamaska","2021A00032447","86","92796",,"88306",,"5.1",,"43030",,"40364",,"6.6",,"41563",,"38826",,"7.0",,"636.00",,"145.9",,"71",,"20",
"2021","La Jacques-Cartier","2021A00032422","87","47813",,"43485",,"10.0",,"19877",,"18401",,"8.0",,"18301",,"16332",,"12.1",,"3183.75",,"15.0",,"131",,"39",
"2021","La Matanie","2021A00032408","88","20883",,"21301",,"-2.0",,"11728",,"11948",,"-1.8",,"10387",,"10178",,"2.1",,"3315.74",,"6.3",,"215",,"70",
"2021","La Matapédia","2021A00032407","89","17592",,"17925",,"-1.9",,"9274",,"9142",,"1.4",,"8258",,"8139",,"1.5",,"5354.53",,"3.3",,"237",,"79",
"2021","La Mitis","2021A00032409","90","18363",,"18210",,"0.8",,"9842",,"9692",,"1.5",,"8492",,"8206",,"3.5",,"2275.56",,"8.1",,"232",,"77",
"2021","La Nouvelle-Beauce","2021A00032426","91","37988",,"36785",,"3.3",,"16102",,"15502","r","3.9",,"15465",,"14792","r","4.5",,"905.33",,"42.0",,"153",,"48",
"2021","La Rivière-du-Nord","2021A00032475","92","140394",,"128170",,"9.5",,"64392",,"58580",,"9.9",,"61429",,"55009",,"11.7",,"447.88",,"313.5",,"49",,"14",
"2021","La Tuque","2021A00032490","93","15038",,"15059",,"-0.1",,"8394",,"8360",,"0.4",,"6643",,"6377",,"4.2",,"26031.84",,"0.6",,"249",,"87",
"2021","La Vallée-de-l'Or","2021A00032489","94","43347",,"43226",,"0.3",,"20944",,"20224",,"3.6",,"19648",,"19040",,"3.2",,"24094.84",,"1.8",,"143",,"44",
"2021","La Vallée-de-la-Gatineau","2021A00032483","95","20547",,"20182",,"1.8",,"14977",,"15363",,"-2.5",,"9983",,"9392",,"6.3",,"12362.49",,"1.7",,"220",,"72",
"2021","La Vallée-du-Richelieu","2021A00032457","96","131803",,"124420",,"5.9",,"53796",,"49971",,"7.7",,"52785",,"48748",,"8.3",,"587.84",,"224.2",,"50",,"15",
"2021","Lac-Saint-Jean-Est","2021A00032493","97","52475",,"52741",,"-0.5",,"25764",,"25450",,"1.2",,"23497",,"22909",,"2.6",,"2767.51",,"19.0",,"121",,"35",
"2021","Laval","2021A00032465","98","438366",,"422993",,"3.6",,"176115",,"165686",,"6.3",,"169785",,"160328",,"5.9",,"246.13",,"1781.0",,"19",,"3",
